City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Hermanus,ZA,69.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
143,Rocha,UY,79.45,clear sky,-34.4833,-54.3333,Hotel Arrarte
144,Hami,CN,65.79,scattered clouds,42.8,93.45,Laoyutang Resort
145,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
146,Vanimo,PG,78.01,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
151,Cabrobo,BR,92.21,overcast clouds,-8.5142,-39.31,Hotel Limarques
152,Maragogi,BR,82.71,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
154,Hervey Bay,AU,74.44,broken clouds,-25.2986,152.8535,Shelly Bay Resort
156,Northam,GB,48.38,broken clouds,51.0333,-4.2167,Durrant House Hotel
158,Songjianghe,CN,48.7,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
159,Soyo,AO,83.26,overcast clouds,-6.1349,12.3689,Hotel Mpampa
160,Virginia Beach,US,55.45,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
161,Port Lincoln,AU,67.93,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
162,Torbay,CA,35.58,broken clouds,47.6666,-52.7314,Gallows Cove
163,Kutum,SD,93.72,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
165,Tateyama,JP,61.11,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
167,Lata,PT,58.82,overcast clouds,40.1629,-8.3327,Casa Maquia
168,Champerico,GT,82.94,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
170,Mackay,AU,77.68,broken clouds,-21.15,149.2,International Lodge Motel
171,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
172,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
173,Lagoa,PT,55.51,overcast clouds,39.05,-27.9833,Casa Das Faias
174,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
175,Changtu,CN,59.38,broken clouds,42.7788,124.0955,Ming Yang Inn
176,Ozark,US,46.29,clear sky,37.0209,-93.206,Days Inn by Wyndham Ozark Springfield
177,Half Moon Bay,US,54.63,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
178,Zhezkazgan,KZ,53.58,few clouds,47.8043,67.7144,Hotel Zumrat
179,Port-Cartier,CA,33.75,overcast clouds,50.0334,-66.8654,Le Q'Artier
180,Narsaq,GL,35.82,clear sky,60.9167,-46.05,Sleep In Narsaq
181,Pisco,PE,68.05,mist,-13.7,-76.2167,Hotel San Isidro Oficial
182,Namibe,AO,75.49,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
183,Kirakira,SB,79.21,broken clouds,-10.4544,161.9205,SanBiz Lodge
184,Thurso,GB,41.86,broken clouds,58.5927,-3.5259,Weigh Inn Hotel
185,Laguna,US,60.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
186,Vila Franca Do Campo,PT,61.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
187,Miandrivazo,MG,86.85,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
188,Forbesganj,IN,85.87,scattered clouds,26.3,87.25,होटल
189,Erzin,TR,64.47,clear sky,36.9559,36.2,Artemis Otel
190,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
