City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Cayenne,GF,4.9333,-52.3333,86.04,1,40,19.57,scattered clouds
105,Aromashevo,RU,56.8602,68.6375,27.93,96,50,4.29,scattered clouds
106,Harper,LR,4.375,-7.7169,86.02,69,100,10.83,overcast clouds
107,Bredasdorp,ZA,-34.5322,20.0403,64.83,69,21,23.09,few clouds
108,West Odessa,US,31.8424,-102.4988,63.05,20,0,13.8,clear sky
109,El Retorno,CO,2.3302,-72.6276,87.26,59,97,0.74,overcast clouds
110,Chute-Aux-Outardes,CA,49.1168,-68.399,35.58,93,100,10.36,overcast clouds
111,Busselton,AU,-33.65,115.3333,59.7,57,98,6.02,overcast clouds
112,Sioux Lookout,CA,50.1001,-91.917,26.67,54,20,2.3,few clouds
113,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,75,75,28.77,broken clouds
114,Patti,IN,31.2808,74.8572,93.27,8,4,8.88,clear sky
115,Pangody,RU,65.85,74.4859,0.37,94,85,6.58,overcast clouds
116,Coquimbo,CL,-29.9533,-71.3436,56.93,100,100,3.44,light intensity drizzle
117,Ibra,OM,22.6906,58.5334,91.42,14,99,4.83,overcast clouds
118,Katsuura,JP,35.1333,140.3,62.71,84,0,17.6,clear sky
119,Qingdao,CN,36.0986,120.3719,62.2,63,0,13.42,clear sky
120,Amga,RU,60.8953,131.9608,3.04,98,53,1.9,broken clouds
121,Margate,GB,51.3813,1.3862,54.3,42,66,7.0,broken clouds
122,Castro,BR,-24.7911,-50.0119,76.89,60,92,7.18,overcast clouds
123,Abu Dhabi,AE,24.4667,54.3667,91.51,44,0,4.61,clear sky
124,Bria,CF,6.5423,21.9863,99.3,22,78,2.86,broken clouds
125,Batagay,RU,67.6333,134.6333,1.02,100,100,2.95,overcast clouds
126,Biloela,AU,-24.4167,150.5,71.78,81,79,13.78,broken clouds
127,Lander,US,42.833,-108.7307,54.1,30,0,3.44,clear sky
128,Placido De Castro,BR,-10.3353,-67.1856,88.09,58,100,3.2,overcast clouds
