City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Cherskiy,RU,2022-04-05 13:37:59,68.75,161.3,-19.03,100,10,2.37
110,Klaksvik,FO,2022-04-05 13:37:59,62.2266,-6.589,36.52,61,100,17.09
111,Verkhnevilyuysk,RU,2022-04-05 13:37:59,63.4453,120.3167,-0.87,99,100,4.07
112,Kapoeta,SS,2022-04-05 13:37:59,4.7717,33.5903,98.26,21,90,18.86
113,Mporokoso,ZM,2022-04-05 13:38:00,-9.3727,30.125,75.09,69,61,2.37
114,Chortomlyk,UA,2022-04-05 13:38:00,47.6232,34.142,48.09,55,92,20.33
115,Namibe,AO,2022-04-05 13:38:00,-15.1961,12.1522,75.13,69,5,11.7
116,Husavik,IS,2022-04-05 13:38:01,66.0449,-17.3389,26.8,64,100,20.29
117,Nikolskoye,RU,2022-04-05 13:38:01,59.7035,30.7861,36.88,96,100,15.75
118,Richards Bay,ZA,2022-04-05 13:34:17,-28.783,32.0377,79.56,70,1,12.08
119,Metro,ID,2022-04-05 13:38:02,-5.1131,105.3067,76.73,82,86,4.14
120,Mahebourg,MU,2022-04-05 13:38:02,-20.4081,57.7,80.89,78,40,12.66
121,Brigantine,US,2022-04-05 13:37:23,39.4101,-74.3646,54.19,75,75,6.91
122,Berlevag,NO,2022-04-05 13:38:02,70.8578,29.0864,30.2,62,100,29.42
123,Waipawa,NZ,2022-04-05 13:38:03,-41.4122,175.5153,61.7,84,100,10.42
124,Juigalpa,NI,2022-04-05 13:38:03,12.1063,-85.3645,78.71,78,20,4.61
125,Aklavik,CA,2022-04-05 13:38:03,68.2191,-135.0107,-25.6,75,20,2.3
126,Tessalit,ML,2022-04-05 13:38:04,20.1986,1.0114,104.97,3,0,4.16
127,Bilma,NE,2022-04-05 13:38:04,18.6853,12.9164,106.38,4,21,12.95
128,Turukhansk,RU,2022-04-05 13:38:04,65.8167,87.9833,31.84,96,100,12.59
129,Fare,PF,2022-04-05 13:38:05,-16.7,-151.0167,82.58,75,5,21.0
130,Talnakh,RU,2022-04-05 13:38:05,69.4865,88.3972,24.21,76,98,7.31
131,Road Town,VG,2022-04-05 13:38:05,18.4167,-64.6167,80.69,74,40,13.8
132,Gediz,TR,2022-04-05 13:38:06,39.0417,29.41,68.45,39,100,14.0
133,Pestravka,RU,2022-04-05 13:38:06,52.405,49.9583,38.25,64,100,11.88
134,Coquimbo,CL,2022-04-05 13:38:06,-29.9533,-71.3436,53.33,100,100,8.05
135,Faya,SA,2022-04-05 13:39:07,18.3851,42.4509,82.92,12,1,2.86
136,Sukhothai,TH,2022-04-05 13:39:07,17.25,99.6667,87.69,51,0,1.14
137,Tiarei,PF,2022-04-05 13:39:07,-17.5333,-149.3333,78.01,78,20,22.03
138,Tiznit,MA,2022-04-05 13:37:32,29.5833,-9.5,55.78,53,67,18.57
139,Gladstone,AU,2022-04-05 13:39:08,-23.85,151.25,73.33,78,8,3.44
140,Teseney,ER,2022-04-05 13:39:08,15.11,36.6575,105.73,10,4,9.64
141,Katsuura,JP,2022-04-05 13:39:08,35.1333,140.3,56.12,76,100,1.86
142,Acajutla,SV,2022-04-05 13:39:09,13.5928,-89.8275,83.66,61,99,1.83
143,Bredasdorp,ZA,2022-04-05 13:39:09,-34.5322,20.0403,68.79,50,36,21.63
144,Petropavlovsk-Kamchatskiy,RU,2022-04-05 13:39:09,53.0452,158.6483,34.39,75,0,11.18
145,Ruteng,ID,2022-04-05 13:39:10,-8.6136,120.4721,59.86,85,21,1.79
146,Kenai,US,2022-04-05 13:39:10,60.5544,-151.2583,32.02,95,100,5.75
147,Muhos,FI,2022-04-05 13:39:10,64.808,25.9931,32.9,98,100,10.11
148,Castro,BR,2022-04-05 13:39:11,-24.7911,-50.0119,74.98,67,27,2.35
149,Atasu,KZ,2022-04-05 13:39:11,48.6814,71.6433,51.55,71,100,10.18
150,Namatanai,PG,2022-04-05 13:39:11,-3.6667,152.4333,78.39,88,100,6.67
151,Bathsheba,BB,2022-04-05 13:39:12,13.2167,-59.5167,83.01,65,75,17.27
152,Alofi,NU,2022-04-05 13:39:12,-19.0595,-169.9187,73.29,94,100,1.14
153,Coihaique,CL,2022-04-05 13:39:12,-45.5752,-72.0662,56.01,94,100,4.61
154,Maple Creek,CA,2022-04-05 13:39:13,49.9168,-109.4848,32.14,98,100,33.13
155,Atuona,PF,2022-04-05 13:39:13,-9.8,-139.0333,78.49,79,48,24.49
156,Narsaq,GL,2022-04-05 13:39:13,60.9167,-46.05,43.02,49,93,4.85
157,Ingham,US,2022-04-05 13:39:14,42.6,-84.3833,40.95,90,100,0.0
158,Khatanga,RU,2022-04-05 13:39:14,71.9667,102.5,-10.71,89,5,8.5
159,Kibala,TD,2022-04-05 13:39:14,9.1104,18.3463,102.61,22,31,1.95
160,Tamiahua,MX,2022-04-05 13:39:15,21.2667,-97.45,75.7,83,12,7.49
161,Gorin,RU,2022-04-05 13:39:15,51.1983,136.6669,23.65,95,100,8.81
162,Samarai,PG,2022-04-05 13:39:15,-10.6167,150.6667,80.49,82,100,13.0
163,New Norfolk,AU,2022-04-05 13:39:16,-42.7826,147.0587,53.1,66,100,1.01
164,Hami,CN,2022-04-05 13:39:16,42.8,93.45,67.53,14,0,6.08
165,Thabazimbi,ZA,2022-04-05 13:39:16,-24.5917,27.4116,84.2,28,0,5.82
166,Atbasar,KZ,2022-04-05 13:39:17,51.8,68.3333,36.5,96,99,13.02
167,Shu,KZ,2022-04-05 13:39:17,43.5983,73.7614,68.7,31,0,5.14
